author,NF,F,NC,Total,F_Ratio
371825,10,3,10,23,0.13043478260869565
178894,61,1,17,79,0.012658227848101266
894582,35,4,29,68,0.058823529411764705
708685,3,0,4,7,0.0
282904,36,6,24,66,0.09090909090909091
917147,17,0,59,76,0.0
657948,662,41,472,1175,0.03489361702127659
184085,17,4,12,33,0.12121212121212122
30560,67,30,26,123,0.24390243902439024
423282,5,1,5,11,0.09090909090909091
114144,250,17,107,374,0.045454545454545456
796582,98,5,24,127,0.03937007874015748
729278,186,31,204,421,0.07363420427553444
843251,75,11,28,114,0.09649122807017543
5804,28,6,15,49,0.12244897959183673
827436,9,1,7,17,0.058823529411764705
405413,0,0,4,4,0.0
293968,24,8,6,38,0.21052631578947367
831695,58,4,3,65,0.06153846153846154
413422,3,0,0,3,0.0
355667,1,7,19,27,0.25925925925925924
881993,48,6,46,100,0.06
624638,97,4,127,228,0.017543859649122806
814337,11,0,46,57,0.0
977178,0,0,1,1,0.0
206934,1,2,7,10,0.2
39235,31,1,11,43,0.023255813953488372
527906,27,2,29,58,0.034482758620689655
351995,39,4,48,91,0.04395604395604396
821859,63,10,53,126,0.07936507936507936
855253,60,11,101,172,0.06395348837209303
97599,2,1,15,18,0.05555555555555555
162164,11,2,11,24,0.08333333333333333
353608,2,0,5,7,0.0
245582,51,0,19,70,0.0
881431,0,0,1,1,0.0
532288,3,0,3,6,0.0
817814,202,2,50,254,0.007874015748031496
665363,35,2,17,54,0.037037037037037035
210608,183,13,78,274,0.04744525547445255
202254,2,0,12,14,0.0
509334,0,0,1,1,0.0
265523,6,0,6,12,0.0
249160,40,0,10,50,0.0
704709,2,0,2,4,0.0
870356,36,3,9,48,0.0625
813256,38,6,6,50,0.12
622288,0,0,5,5,0.0
151647,4,0,1,5,0.0
721484,0,0,1,1,0.0
609451,3,0,15,18,0.0
689247,0,0,1,1,0.0
369748,11,3,21,35,0.08571428571428572
27241,137,4,40,181,0.022099447513812154
751644,85,7,48,140,0.05
362837,1,0,2,3,0.0
653923,16,0,2,18,0.0
722152,30,0,2,32,0.0
807257,0,0,2,2,0.0
543361,128,4,17,149,0.026845637583892617
652772,0,0,1,1,0.0
890796,1,0,18,19,0.0
459583,10,0,2,12,0.0
26765,5,0,2,7,0.0
30586,109,3,61,173,0.017341040462427744
402377,64,1,15,80,0.0125
12651,16,1,7,24,0.041666666666666664
859997,0,1,1,2,0.5
645155,56,1,9,66,0.015151515151515152
118201,6,0,6,12,0.0
782330,1,0,2,3,0.0
753210,10,1,0,11,0.09090909090909091
536736,24,0,55,79,0.0
454609,11,1,0,12,0.08333333333333333
940008,18,0,5,23,0.0
153489,137,3,47,187,0.016042780748663103
193377,24,5,2,31,0.16129032258064516
871583,80,2,75,157,0.012738853503184714
11647,17,0,61,78,0.0
270469,2,0,1,3,0.0
178445,38,0,20,58,0.0
288455,4,0,0,4,0.0
836194,23,6,3,32,0.1875
546806,30,0,3,33,0.0
302593,16,0,5,21,0.0
285805,1,0,2,3,0.0
600959,0,0,4,4,0.0
136993,42,3,13,58,0.05172413793103448
474770,45,1,25,71,0.014084507042253521
207247,21,0,7,28,0.0
426439,4,0,0,4,0.0
251789,236,84,64,384,0.21875
611428,81,1,239,321,0.003115264797507788
281729,0,0,1,1,0.0
623235,8,0,1,9,0.0
157271,48,12,8,68,0.17647058823529413
643478,3,0,1,4,0.0
172546,3,7,4,14,0.5
225070,5,0,9,14,0.0
384465,5,1,0,6,0.16666666666666666
801267,10,0,3,13,0.0
367996,0,0,1,1,0.0
411642,0,0,1,1,0.0
504011,6,0,3,9,0.0
254150,163,24,131,318,0.07547169811320754
159407,5,0,15,20,0.0
386448,50,15,33,98,0.15306122448979592
391593,10,0,14,24,0.0
906938,6,0,1,7,0.0
259095,5,0,2,7,0.0
635690,3,0,2,5,0.0
983538,17,1,1,19,0.05263157894736842
916696,2,0,1,3,0.0
599919,5,5,0,10,0.5
874810,14,11,6,31,0.3548387096774194
940847,26,10,4,40,0.25
328113,92,9,26,127,0.07086614173228346
564375,9,0,5,14,0.0
115941,5,1,1,7,0.14285714285714285
236810,51,0,31,82,0.0
516835,70,2,26,98,0.02040816326530612
930830,8,0,2,10,0.0
186056,4,0,0,4,0.0
876951,11,0,8,19,0.0
122214,35,5,12,52,0.09615384615384616
997703,69,24,44,137,0.17518248175182483
361907,13,8,23,44,0.18181818181818182
575688,16,1,6,23,0.043478260869565216
67869,116,6,86,208,0.028846153846153848
688495,5,0,6,11,0.0
759067,2,1,7,10,0.1
933306,26,5,15,46,0.10869565217391304
563559,37,2,26,65,0.03076923076923077
585980,2,0,11,13,0.0
716027,39,9,30,78,0.11538461538461539
924789,2,0,1,3,0.0
43845,4,0,3,7,0.0
533145,23,0,50,73,0.0
247911,51,1,23,75,0.013333333333333334
766063,3,3,6,12,0.25
326109,1,0,1,2,0.0
375041,2,0,4,6,0.0
379834,2,0,2,4,0.0
649807,0,0,2,2,0.0
765754,10,2,9,21,0.09523809523809523
