author,NF,F,NC,Total,F_Ratio
212724,0,0,2,2,0.0
223043,15,0,40,55,0.0
244749,3,6,2,11,0.5454545454545454
742817,0,0,1,1,0.0
516552,1,0,7,8,0.0
930010,1,0,0,1,0.0
843254,4,0,0,4,0.0
186307,1,0,0,1,0.0
116289,10,0,16,26,0.0
281766,0,0,6,6,0.0
787254,0,0,12,12,0.0
42568,4,0,1,5,0.0
496475,8,0,2,10,0.0
890413,17,15,20,52,0.28846153846153844
892366,1,3,0,4,0.75
350777,6,2,3,11,0.18181818181818182
268722,0,2,0,2,1.0
906509,13,2,3,18,0.1111111111111111
731772,1,0,0,1,0.0
77363,3,0,0,3,0.0
133323,6,2,0,8,0.25
333293,0,0,1,1,0.0
183092,1,0,1,2,0.0
